Comment,Emotion,cleaned_text,tokens,processed_tokens,processed_text
i feel like you feel this is a mistake but time is fucked up sleep won t take,anger,i feel like you feel this is a mistake but time is fucked up sleep won t take,"['i', 'feel', 'like', 'you', 'feel', 'this', 'is', 'a', 'mistake', 'but', 'time', 'is', 'fucked', 'up', 'sleep', 'won', 't', 'take']","['feel', 'like', 'feel', 'mistake', 'time', 'fucked', 'sleep', 'take']",feel like feel mistake time fucked sleep take
i was feeling wronged and impotent,anger,i was feeling wronged and impotent,"['i', 'was', 'feeling', 'wronged', 'and', 'impotent']","['feeling', 'wronged', 'impotent']",feeling wronged impotent
i remember the same giddy feeling of contented good fortune lucky lucky me here safe in our cozy home watching my fabulous man head off for the day knowing he ll be coming home to me in a few hours,joy,i remember the same giddy feeling of contented good fortune lucky lucky me here safe in our cozy home watching my fabulous man head off for the day knowing he ll be coming home to me in a few hours,"['i', 'remember', 'the', 'same', 'giddy', 'feeling', 'of', 'contented', 'good', 'fortune', 'lucky', 'lucky', 'me', 'here', 'safe', 'in', 'our', 'cozy', 'home', 'watching', 'my', 'fabulous', 'man', 'head', 'off', 'for', 'the', 'day', 'knowing', 'he', 'll', 'be', 'coming', 'home', 'to', 'me', 'in', 'a', 'few', 'hours']","['remember', 'giddy', 'feeling', 'contented', 'good', 'fortune', 'lucky', 'lucky', 'safe', 'cozy', 'home', 'watching', 'fabulous', 'man', 'head', 'day', 'knowing', 'coming', 'home', 'hours']",remember giddy feeling contented good fortune lucky lucky safe cozy home watching fabulous man head day knowing coming home hours
i sobbed and cried to him feeling quite vulnerable and he did nothing said nothing,fear,i sobbed and cried to him feeling quite vulnerable and he did nothing said nothing,"['i', 'sobbed', 'and', 'cried', 'to', 'him', 'feeling', 'quite', 'vulnerable', 'and', 'he', 'did', 'nothing', 'said', 'nothing']","['sobbed', 'cried', 'feeling', 'quite', 'vulnerable', 'nothing', 'said', 'nothing']",sobbed cried feeling quite vulnerable nothing said nothing
im sure she left feeling angry and unhappy but she also caused members of staff to feel angry aggressive and upset hurt as her final say was a personal attack to say we were awful individuals with bad attitudes,anger,im sure she left feeling angry and unhappy but she also caused members of staff to feel angry aggressive and upset hurt as her final say was a personal attack to say we were awful individuals with bad attitudes,"['im', 'sure', 'she', 'left', 'feeling', 'angry', 'and', 'unhappy', 'but', 'she', 'also', 'caused', 'members', 'of', 'staff', 'to', 'feel', 'angry', 'aggressive', 'and', 'upset', 'hurt', 'as', 'her', 'final', 'say', 'was', 'a', 'personal', 'attack', 'to', 'say', 'we', 'were', 'awful', 'individuals', 'with', 'bad', 'attitudes']","['im', 'sure', 'left', 'feeling', 'angry', 'unhappy', 'also', 'caused', 'members', 'staff', 'feel', 'angry', 'aggressive', 'upset', 'hurt', 'final', 'say', 'personal', 'attack', 'say', 'awful', 'individuals', 'bad', 'attitudes']",im sure left feeling angry unhappy also caused members staff feel angry aggressive upset hurt final say personal attack say awful individuals bad attitudes
i feel their pain and its not pleasant,joy,i feel their pain and its not pleasant,"['i', 'feel', 'their', 'pain', 'and', 'its', 'not', 'pleasant']","['feel', 'pain', 'pleasant']",feel pain pleasant
i think of the future of the subcontinent i find myself feeling optimistic despite everything i read in the papers,joy,i think of the future of the subcontinent i find myself feeling optimistic despite everything i read in the papers,"['i', 'think', 'of', 'the', 'future', 'of', 'the', 'subcontinent', 'i', 'find', 'myself', 'feeling', 'optimistic', 'despite', 'everything', 'i', 'read', 'in', 'the', 'papers']","['think', 'future', 'subcontinent', 'find', 'feeling', 'optimistic', 'despite', 'everything', 'read', 'papers']",think future subcontinent find feeling optimistic despite everything read papers
i was already feeling pretty nervous about this prospect as i had a suitcase full of dvds of which we only watched one,fear,i was already feeling pretty nervous about this prospect as i had a suitcase full of dvds of which we only watched one,"['i', 'was', 'already', 'feeling', 'pretty', 'nervous', 'about', 'this', 'prospect', 'as', 'i', 'had', 'a', 'suitcase', 'full', 'of', 'dvds', 'of', 'which', 'we', 'only', 'watched', 'one']","['already', 'feeling', 'pretty', 'nervous', 'prospect', 'suitcase', 'full', 'dvds', 'watched', 'one']",already feeling pretty nervous prospect suitcase full dvds watched one
i admit to feeling slightly alarmed that her book was also based on olden sarawak and there seemed to be parallel plot lines to the jugra chronicles,fear,i admit to feeling slightly alarmed that her book was also based on olden sarawak and there seemed to be parallel plot lines to the jugra chronicles,"['i', 'admit', 'to', 'feeling', 'slightly', 'alarmed', 'that', 'her', 'book', 'was', 'also', 'based', 'on', 'olden', 'sarawak', 'and', 'there', 'seemed', 'to', 'be', 'parallel', 'plot', 'lines', 'to', 'the', 'jugra', 'chronicles']","['admit', 'feeling', 'slightly', 'alarmed', 'book', 'also', 'based', 'olden', 'sarawak', 'seemed', 'parallel', 'plot', 'lines', 'jugra', 'chronicles']",admit feeling slightly alarmed book also based olden sarawak seemed parallel plot lines jugra chronicles
ive been feeling much more confident,joy,ive been feeling much more confident,"['ive', 'been', 'feeling', 'much', 'more', 'confident']","['ive', 'feeling', 'much', 'confident']",ive feeling much confident
i just need to find ways to feel pretty,joy,i just need to find ways to feel pretty,"['i', 'just', 'need', 'to', 'find', 'ways', 'to', 'feel', 'pretty']","['need', 'find', 'ways', 'feel', 'pretty']",need find ways feel pretty
ive been feeling like im on shaky quilting waters and have started questioning my work,fear,ive been feeling like im on shaky quilting waters and have started questioning my work,"['ive', 'been', 'feeling', 'like', 'im', 'on', 'shaky', 'quilting', 'waters', 'and', 'have', 'started', 'questioning', 'my', 'work']","['ive', 'feeling', 'like', 'im', 'shaky', 'quilting', 'waters', 'started', 'questioning', 'work']",ive feeling like im shaky quilting waters started questioning work
i worried over the feeling of supposed to being at church but rich and dr,joy,i worried over the feeling of supposed to being at church but rich and dr,"['i', 'worried', 'over', 'the', 'feeling', 'of', 'supposed', 'to', 'being', 'at', 'church', 'but', 'rich', 'and', 'dr']","['worried', 'feeling', 'supposed', 'church', 'rich', 'dr']",worried feeling supposed church rich dr
i suppose i was moping in my own misery feeling extremely agitated by a lot of people,fear,i suppose i was moping in my own misery feeling extremely agitated by a lot of people,"['i', 'suppose', 'i', 'was', 'moping', 'in', 'my', 'own', 'misery', 'feeling', 'extremely', 'agitated', 'by', 'a', 'lot', 'of', 'people']","['suppose', 'moping', 'misery', 'feeling', 'extremely', 'agitated', 'lot', 'people']",suppose moping misery feeling extremely agitated lot people
i am feeling impatient i havent been blogging because each day was pretty similar sleep eat pregnancy pains sleep etc,anger,i am feeling impatient i havent been blogging because each day was pretty similar sleep eat pregnancy pains sleep etc,"['i', 'am', 'feeling', 'impatient', 'i', 'havent', 'been', 'blogging', 'because', 'each', 'day', 'was', 'pretty', 'similar', 'sleep', 'eat', 'pregnancy', 'pains', 'sleep', 'etc']","['feeling', 'impatient', 'havent', 'blogging', 'day', 'pretty', 'similar', 'sleep', 'eat', 'pregnancy', 'pains', 'sleep', 'etc']",feeling impatient havent blogging day pretty similar sleep eat pregnancy pains sleep etc
i was feeling stressed or run down to support the immune system,anger,i was feeling stressed or run down to support the immune system,"['i', 'was', 'feeling', 'stressed', 'or', 'run', 'down', 'to', 'support', 'the', 'immune', 'system']","['feeling', 'stressed', 'run', 'support', 'immune', 'system']",feeling stressed run support immune system
i dream of jeannie i could still feel the violent grip of his hands on my shoulders,anger,i dream of jeannie i could still feel the violent grip of his hands on my shoulders,"['i', 'dream', 'of', 'jeannie', 'i', 'could', 'still', 'feel', 'the', 'violent', 'grip', 'of', 'his', 'hands', 'on', 'my', 'shoulders']","['dream', 'jeannie', 'could', 'still', 'feel', 'violent', 'grip', 'hands', 'shoulders']",dream jeannie could still feel violent grip hands shoulders
i feel after reading allthingsbucks blog which brought tears to my eyes and a lump in my throat and a feeling of not having a worthwhile thing to be upset about that i shouldnt write such a lame blog,joy,i feel after reading allthingsbucks blog which brought tears to my eyes and a lump in my throat and a feeling of not having a worthwhile thing to be upset about that i shouldnt write such a lame blog,"['i', 'feel', 'after', 'reading', 'allthingsbucks', 'blog', 'which', 'brought', 'tears', 'to', 'my', 'eyes', 'and', 'a', 'lump', 'in', 'my', 'throat', 'and', 'a', 'feeling', 'of', 'not', 'having', 'a', 'worthwhile', 'thing', 'to', 'be', 'upset', 'about', 'that', 'i', 'shouldnt', 'write', 'such', 'a', 'lame', 'blog']","['feel', 'reading', 'allthingsbucks', 'blog', 'brought', 'tears', 'eyes', 'lump', 'throat', 'feeling', 'worthwhile', 'thing', 'upset', 'shouldnt', 'write', 'lame', 'blog']",feel reading allthingsbucks blog brought tears eyes lump throat feeling worthwhile thing upset shouldnt write lame blog
i was abruptly reminded of why i was feeling so agitated in la,fear,i was abruptly reminded of why i was feeling so agitated in la,"['i', 'was', 'abruptly', 'reminded', 'of', 'why', 'i', 'was', 'feeling', 'so', 'agitated', 'in', 'la']","['abruptly', 'reminded', 'feeling', 'agitated', 'la']",abruptly reminded feeling agitated la
i guess thats why i bought some black nail varnish cos i was feeling rebellious,anger,i guess thats why i bought some black nail varnish cos i was feeling rebellious,"['i', 'guess', 'thats', 'why', 'i', 'bought', 'some', 'black', 'nail', 'varnish', 'cos', 'i', 'was', 'feeling', 'rebellious']","['guess', 'thats', 'bought', 'black', 'nail', 'varnish', 'cos', 'feeling', 'rebellious']",guess thats bought black nail varnish cos feeling rebellious
i climbed the hill feeling frustrated that id pretty much paced entirely wrong for this course and that a factor that has never ever hampered me had made such a dent in the day,anger,i climbed the hill feeling frustrated that id pretty much paced entirely wrong for this course and that a factor that has never ever hampered me had made such a dent in the day,"['i', 'climbed', 'the', 'hill', 'feeling', 'frustrated', 'that', 'id', 'pretty', 'much', 'paced', 'entirely', 'wrong', 'for', 'this', 'course', 'and', 'that', 'a', 'factor', 'that', 'has', 'never', 'ever', 'hampered', 'me', 'had', 'made', 'such', 'a', 'dent', 'in', 'the', 'day']","['climbed', 'hill', 'feeling', 'frustrated', 'id', 'pretty', 'much', 'paced', 'entirely', 'wrong', 'course', 'factor', 'never', 'ever', 'hampered', 'made', 'dent', 'day']",climbed hill feeling frustrated id pretty much paced entirely wrong course factor never ever hampered made dent day
i was feeling pretty cranky about it but when i called the garage door guy this morning he said that his scheduler wasnt in because her husband had a massive heart attack over the weekend hes okay so he couldnt give me a time the repairman will call before he comes,anger,i was feeling pretty cranky about it but when i called the garage door guy this morning he said that his scheduler wasnt in because her husband had a massive heart attack over the weekend hes okay so he couldnt give me a time the repairman will call before he comes,"['i', 'was', 'feeling', 'pretty', 'cranky', 'about', 'it', 'but', 'when', 'i', 'called', 'the', 'garage', 'door', 'guy', 'this', 'morning', 'he', 'said', 'that', 'his', 'scheduler', 'wasnt', 'in', 'because', 'her', 'husband', 'had', 'a', 'massive', 'heart', 'attack', 'over', 'the', 'weekend', 'hes', 'okay', 'so', 'he', 'couldnt', 'give', 'me', 'a', 'time', 'the', 'repairman', 'will', 'call', 'before', 'he', 'comes']","['feeling', 'pretty', 'cranky', 'called', 'garage', 'door', 'guy', 'morning', 'said', 'scheduler', 'wasnt', 'husband', 'massive', 'heart', 'attack', 'weekend', 'hes', 'okay', 'couldnt', 'give', 'time', 'repairman', 'call', 'comes']",feeling pretty cranky called garage door guy morning said scheduler wasnt husband massive heart attack weekend hes okay couldnt give time repairman call comes
im feeling very uncomfortable there the comfort and warmth is just not there any more,fear,im feeling very uncomfortable there the comfort and warmth is just not there any more,"['im', 'feeling', 'very', 'uncomfortable', 'there', 'the', 'comfort', 'and', 'warmth', 'is', 'just', 'not', 'there', 'any', 'more']","['im', 'feeling', 'uncomfortable', 'comfort', 'warmth']",im feeling uncomfortable comfort warmth
i am not even italian but i feel outraged by the stupidity of ppl on this blog,anger,i am not even italian but i feel outraged by the stupidity of ppl on this blog,"['i', 'am', 'not', 'even', 'italian', 'but', 'i', 'feel', 'outraged', 'by', 'the', 'stupidity', 'of', 'ppl', 'on', 'this', 'blog']","['even', 'italian', 'feel', 'outraged', 'stupidity', 'ppl', 'blog']",even italian feel outraged stupidity ppl blog
im not feeling frantic yet so instead i am going to make this sleep teddy,fear,im not feeling frantic yet so instead i am going to make this sleep teddy,"['im', 'not', 'feeling', 'frantic', 'yet', 'so', 'instead', 'i', 'am', 'going', 'to', 'make', 'this', 'sleep', 'teddy']","['im', 'feeling', 'frantic', 'yet', 'instead', 'going', 'make', 'sleep', 'teddy']",im feeling frantic yet instead going make sleep teddy
i feel that the most talented of illustrators designers are ones that know how to get an idea across without the trappings of crosshatching and lensflares on everything,joy,i feel that the most talented of illustrators designers are ones that know how to get an idea across without the trappings of crosshatching and lensflares on everything,"['i', 'feel', 'that', 'the', 'most', 'talented', 'of', 'illustrators', 'designers', 'are', 'ones', 'that', 'know', 'how', 'to', 'get', 'an', 'idea', 'across', 'without', 'the', 'trappings', 'of', 'crosshatching', 'and', 'lensflares', 'on', 'everything']","['feel', 'talented', 'illustrators', 'designers', 'ones', 'know', 'get', 'idea', 'across', 'without', 'trappings', 'crosshatching', 'lensflares', 'everything']",feel talented illustrators designers ones know get idea across without trappings crosshatching lensflares everything
i was feeling shaken walking along the streets and less able to concentrate on not having an accident while simultaneously worrying about having one due to not concentrating,fear,i was feeling shaken walking along the streets and less able to concentrate on not having an accident while simultaneously worrying about having one due to not concentrating,"['i', 'was', 'feeling', 'shaken', 'walking', 'along', 'the', 'streets', 'and', 'less', 'able', 'to', 'concentrate', 'on', 'not', 'having', 'an', 'accident', 'while', 'simultaneously', 'worrying', 'about', 'having', 'one', 'due', 'to', 'not', 'concentrating']","['feeling', 'shaken', 'walking', 'along', 'streets', 'less', 'able', 'concentrate', 'accident', 'simultaneously', 'worrying', 'one', 'due', 'concentrating']",feeling shaken walking along streets less able concentrate accident simultaneously worrying one due concentrating
i feel absolutely overwhelmed by it,fear,i feel absolutely overwhelmed by it,"['i', 'feel', 'absolutely', 'overwhelmed', 'by', 'it']","['feel', 'absolutely', 'overwhelmed']",feel absolutely overwhelmed
i feel like i should rely entirelly on gods word yet i am impatient to wait,anger,i feel like i should rely entirelly on gods word yet i am impatient to wait,"['i', 'feel', 'like', 'i', 'should', 'rely', 'entirelly', 'on', 'gods', 'word', 'yet', 'i', 'am', 'impatient', 'to', 'wait']","['feel', 'like', 'rely', 'entirelly', 'gods', 'word', 'yet', 'impatient', 'wait']",feel like rely entirelly gods word yet impatient wait
im feeling a bit distressed about it,fear,im feeling a bit distressed about it,"['im', 'feeling', 'a', 'bit', 'distressed', 'about', 'it']","['im', 'feeling', 'bit', 'distressed']",im feeling bit distressed
i find myself feeling happy more and more and it feels so very good,joy,i find myself feeling happy more and more and it feels so very good,"['i', 'find', 'myself', 'feeling', 'happy', 'more', 'and', 'more', 'and', 'it', 'feels', 'so', 'very', 'good']","['find', 'feeling', 'happy', 'feels', 'good']",find feeling happy feels good
i have been feeling the need to be creative,joy,i have been feeling the need to be creative,"['i', 'have', 'been', 'feeling', 'the', 'need', 'to', 'be', 'creative']","['feeling', 'need', 'creative']",feeling need creative
i think a lot of the fun there is in meeting the players expectation and making the player feel clever making it seem like they re not just clicking on an option you know,joy,i think a lot of the fun there is in meeting the players expectation and making the player feel clever making it seem like they re not just clicking on an option you know,"['i', 'think', 'a', 'lot', 'of', 'the', 'fun', 'there', 'is', 'in', 'meeting', 'the', 'players', 'expectation', 'and', 'making', 'the', 'player', 'feel', 'clever', 'making', 'it', 'seem', 'like', 'they', 're', 'not', 'just', 'clicking', 'on', 'an', 'option', 'you', 'know']","['think', 'lot', 'fun', 'meeting', 'players', 'expectation', 'making', 'player', 'feel', 'clever', 'making', 'seem', 'like', 'clicking', 'option', 'know']",think lot fun meeting players expectation making player feel clever making seem like clicking option know
i feel so spiteful towards people sometimes just the way they look makes me want to hurt them,anger,i feel so spiteful towards people sometimes just the way they look makes me want to hurt them,"['i', 'feel', 'so', 'spiteful', 'towards', 'people', 'sometimes', 'just', 'the', 'way', 'they', 'look', 'makes', 'me', 'want', 'to', 'hurt', 'them']","['feel', 'spiteful', 'towards', 'people', 'sometimes', 'way', 'look', 'makes', 'want', 'hurt']",feel spiteful towards people sometimes way look makes want hurt
im feeling annoyed to add on i dont feel important or whatever shit anymore,anger,im feeling annoyed to add on i dont feel important or whatever shit anymore,"['im', 'feeling', 'annoyed', 'to', 'add', 'on', 'i', 'dont', 'feel', 'important', 'or', 'whatever', 'shit', 'anymore']","['im', 'feeling', 'annoyed', 'add', 'dont', 'feel', 'important', 'whatever', 'shit', 'anymore']",im feeling annoyed add dont feel important whatever shit anymore
i had stated to her the reason i feel so fearful is because i feel unsafe,fear,i had stated to her the reason i feel so fearful is because i feel unsafe,"['i', 'had', 'stated', 'to', 'her', 'the', 'reason', 'i', 'feel', 'so', 'fearful', 'is', 'because', 'i', 'feel', 'unsafe']","['stated', 'reason', 'feel', 'fearful', 'feel', 'unsafe']",stated reason feel fearful feel unsafe
i feel peaceful secure and independent,joy,i feel peaceful secure and independent,"['i', 'feel', 'peaceful', 'secure', 'and', 'independent']","['feel', 'peaceful', 'secure', 'independent']",feel peaceful secure independent
im feeling intimidated by my own achievements,fear,im feeling intimidated by my own achievements,"['im', 'feeling', 'intimidated', 'by', 'my', 'own', 'achievements']","['im', 'feeling', 'intimidated', 'achievements']",im feeling intimidated achievements
i feel fearful and then actually do that one thing it usually turns out to be a good thing,fear,i feel fearful and then actually do that one thing it usually turns out to be a good thing,"['i', 'feel', 'fearful', 'and', 'then', 'actually', 'do', 'that', 'one', 'thing', 'it', 'usually', 'turns', 'out', 'to', 'be', 'a', 'good', 'thing']","['feel', 'fearful', 'actually', 'one', 'thing', 'usually', 'turns', 'good', 'thing']",feel fearful actually one thing usually turns good thing
i have to actually tell myself to breathe breathe breathe in and out when i feel absolutely terrified because i know i can t just go home that the life i missed isn t there anymore,fear,i have to actually tell myself to breathe breathe breathe in and out when i feel absolutely terrified because i know i can t just go home that the life i missed isn t there anymore,"['i', 'have', 'to', 'actually', 'tell', 'myself', 'to', 'breathe', 'breathe', 'breathe', 'in', 'and', 'out', 'when', 'i', 'feel', 'absolutely', 'terrified', 'because', 'i', 'know', 'i', 'can', 't', 'just', 'go', 'home', 'that', 'the', 'life', 'i', 'missed', 'isn', 't', 'there', 'anymore']","['actually', 'tell', 'breathe', 'breathe', 'breathe', 'feel', 'absolutely', 'terrified', 'know', 'go', 'home', 'life', 'missed', 'anymore']",actually tell breathe breathe breathe feel absolutely terrified know go home life missed anymore
i dunno the word im even looking for i guess because im not exactly how i feel im selfish i know,anger,i dunno the word im even looking for i guess because im not exactly how i feel im selfish i know,"['i', 'dunno', 'the', 'word', 'im', 'even', 'looking', 'for', 'i', 'guess', 'because', 'im', 'not', 'exactly', 'how', 'i', 'feel', 'im', 'selfish', 'i', 'know']","['dunno', 'word', 'im', 'even', 'looking', 'guess', 'im', 'exactly', 'feel', 'im', 'selfish', 'know']",dunno word im even looking guess im exactly feel im selfish know
i feel like its petty to be worried about it,anger,i feel like its petty to be worried about it,"['i', 'feel', 'like', 'its', 'petty', 'to', 'be', 'worried', 'about', 'it']","['feel', 'like', 'petty', 'worried']",feel like petty worried
i feel you and its so sincere,joy,i feel you and its so sincere,"['i', 'feel', 'you', 'and', 'its', 'so', 'sincere']","['feel', 'sincere']",feel sincere
ive been feeling immensely overwhelmed,fear,ive been feeling immensely overwhelmed,"['ive', 'been', 'feeling', 'immensely', 'overwhelmed']","['ive', 'feeling', 'immensely', 'overwhelmed']",ive feeling immensely overwhelmed
i am feeling rebellious which is often i suppose,anger,i am feeling rebellious which is often i suppose,"['i', 'am', 'feeling', 'rebellious', 'which', 'is', 'often', 'i', 'suppose']","['feeling', 'rebellious', 'often', 'suppose']",feeling rebellious often suppose
i don t know i just had this gut feeling and it just really bothered me he said,anger,i don t know i just had this gut feeling and it just really bothered me he said,"['i', 'don', 't', 'know', 'i', 'just', 'had', 'this', 'gut', 'feeling', 'and', 'it', 'just', 'really', 'bothered', 'me', 'he', 'said']","['know', 'gut', 'feeling', 'really', 'bothered', 'said']",know gut feeling really bothered said
the time when my sister had her first baby i was so happy and joyous because she stayed for two days after marriage before she had a child,joy,the time when my sister had her first baby i was so happy and joyous because she stayed for two days after marriage before she had a child,"['the', 'time', 'when', 'my', 'sister', 'had', 'her', 'first', 'baby', 'i', 'was', 'so', 'happy', 'and', 'joyous', 'because', 'she', 'stayed', 'for', 'two', 'days', 'after', 'marriage', 'before', 'she', 'had', 'a', 'child']","['time', 'sister', 'first', 'baby', 'happy', 'joyous', 'stayed', 'two', 'days', 'marriage', 'child']",time sister first baby happy joyous stayed two days marriage child
i feel like my go to emotion is angry,anger,i feel like my go to emotion is angry,"['i', 'feel', 'like', 'my', 'go', 'to', 'emotion', 'is', 'angry']","['feel', 'like', 'go', 'emotion', 'angry']",feel like go emotion angry
i know shes right because i feel more energetic awake patient and happy when im running daily but i still feel a little bad too because i believe breast milk is so much better for babies than formula,joy,i know shes right because i feel more energetic awake patient and happy when im running daily but i still feel a little bad too because i believe breast milk is so much better for babies than formula,"['i', 'know', 'shes', 'right', 'because', 'i', 'feel', 'more', 'energetic', 'awake', 'patient', 'and', 'happy', 'when', 'im', 'running', 'daily', 'but', 'i', 'still', 'feel', 'a', 'little', 'bad', 'too', 'because', 'i', 'believe', 'breast', 'milk', 'is', 'so', 'much', 'better', 'for', 'babies', 'than', 'formula']","['know', 'shes', 'right', 'feel', 'energetic', 'awake', 'patient', 'happy', 'im', 'running', 'daily', 'still', 'feel', 'little', 'bad', 'believe', 'breast', 'milk', 'much', 'better', 'babies', 'formula']",know shes right feel energetic awake patient happy im running daily still feel little bad believe breast milk much better babies formula
stranded in the north of fraser island with a submerged wd hire vehicle,fear,stranded in the north of fraser island with a submerged wd hire vehicle,"['stranded', 'in', 'the', 'north', 'of', 'fraser', 'island', 'with', 'a', 'submerged', 'wd', 'hire', 'vehicle']","['stranded', 'north', 'fraser', 'island', 'submerged', 'wd', 'hire', 'vehicle']",stranded north fraser island submerged wd hire vehicle
i feel is hostile kinship or mounting nausea did you know that back means the binding itself,anger,i feel is hostile kinship or mounting nausea did you know that back means the binding itself,"['i', 'feel', 'is', 'hostile', 'kinship', 'or', 'mounting', 'nausea', 'did', 'you', 'know', 'that', 'back', 'means', 'the', 'binding', 'itself']","['feel', 'hostile', 'kinship', 'mounting', 'nausea', 'know', 'back', 'means', 'binding']",feel hostile kinship mounting nausea know back means binding
is name in the opening passages saying it may strike the reader as rather singular and far fetched but he may feel assured that it was by no means far fetched and that the circumstances were such that it would have been impossible to give him any other name,joy,is name in the opening passages saying it may strike the reader as rather singular and far fetched but he may feel assured that it was by no means far fetched and that the circumstances were such that it would have been impossible to give him any other name,"['is', 'name', 'in', 'the', 'opening', 'passages', 'saying', 'it', 'may', 'strike', 'the', 'reader', 'as', 'rather', 'singular', 'and', 'far', 'fetched', 'but', 'he', 'may', 'feel', 'assured', 'that', 'it', 'was', 'by', 'no', 'means', 'far', 'fetched', 'and', 'that', 'the', 'circumstances', 'were', 'such', 'that', 'it', 'would', 'have', 'been', 'impossible', 'to', 'give', 'him', 'any', 'other', 'name']","['name', 'opening', 'passages', 'saying', 'may', 'strike', 'reader', 'rather', 'singular', 'far', 'fetched', 'may', 'feel', 'assured', 'means', 'far', 'fetched', 'circumstances', 'would', 'impossible', 'give', 'name']",name opening passages saying may strike reader rather singular far fetched may feel assured means far fetched circumstances would impossible give name
i feel that at shows and around show horses people are trusting and relaxed because most show horses are safe and quiet and are handled frequently,joy,i feel that at shows and around show horses people are trusting and relaxed because most show horses are safe and quiet and are handled frequently,"['i', 'feel', 'that', 'at', 'shows', 'and', 'around', 'show', 'horses', 'people', 'are', 'trusting', 'and', 'relaxed', 'because', 'most', 'show', 'horses', 'are', 'safe', 'and', 'quiet', 'and', 'are', 'handled', 'frequently']","['feel', 'shows', 'around', 'show', 'horses', 'people', 'trusting', 'relaxed', 'show', 'horses', 'safe', 'quiet', 'handled', 'frequently']",feel shows around show horses people trusting relaxed show horses safe quiet handled frequently
im feeling a little more hopeful about my future and like matty always says i want my world to get bigger,joy,im feeling a little more hopeful about my future and like matty always says i want my world to get bigger,"['im', 'feeling', 'a', 'little', 'more', 'hopeful', 'about', 'my', 'future', 'and', 'like', 'matty', 'always', 'says', 'i', 'want', 'my', 'world', 'to', 'get', 'bigger']","['im', 'feeling', 'little', 'hopeful', 'future', 'like', 'matty', 'always', 'says', 'want', 'world', 'get', 'bigger']",im feeling little hopeful future like matty always says want world get bigger
i feel so insecure about my writing,fear,i feel so insecure about my writing,"['i', 'feel', 'so', 'insecure', 'about', 'my', 'writing']","['feel', 'insecure', 'writing']",feel insecure writing
i feel though its pretty dangerous to to apply one strategy to match,anger,i feel though its pretty dangerous to to apply one strategy to match,"['i', 'feel', 'though', 'its', 'pretty', 'dangerous', 'to', 'to', 'apply', 'one', 'strategy', 'to', 'match']","['feel', 'though', 'pretty', 'dangerous', 'apply', 'one', 'strategy', 'match']",feel though pretty dangerous apply one strategy match
i know both of them feel threatened by the job i do even after long years but i get really tired of the ganging up i get from them,fear,i know both of them feel threatened by the job i do even after long years but i get really tired of the ganging up i get from them,"['i', 'know', 'both', 'of', 'them', 'feel', 'threatened', 'by', 'the', 'job', 'i', 'do', 'even', 'after', 'long', 'years', 'but', 'i', 'get', 'really', 'tired', 'of', 'the', 'ganging', 'up', 'i', 'get', 'from', 'them']","['know', 'feel', 'threatened', 'job', 'even', 'long', 'years', 'get', 'really', 'tired', 'ganging', 'get']",know feel threatened job even long years get really tired ganging get
i still try to force myself to do some even if i m feeling irritable withdrawn and quiet at the time,anger,i still try to force myself to do some even if i m feeling irritable withdrawn and quiet at the time,"['i', 'still', 'try', 'to', 'force', 'myself', 'to', 'do', 'some', 'even', 'if', 'i', 'm', 'feeling', 'irritable', 'withdrawn', 'and', 'quiet', 'at', 'the', 'time']","['still', 'try', 'force', 'even', 'feeling', 'irritable', 'withdrawn', 'quiet', 'time']",still try force even feeling irritable withdrawn quiet time
i miss how safe and comfortable he made me feel and how vulnerable i was able to be with him because i knew he loved me,fear,i miss how safe and comfortable he made me feel and how vulnerable i was able to be with him because i knew he loved me,"['i', 'miss', 'how', 'safe', 'and', 'comfortable', 'he', 'made', 'me', 'feel', 'and', 'how', 'vulnerable', 'i', 'was', 'able', 'to', 'be', 'with', 'him', 'because', 'i', 'knew', 'he', 'loved', 'me']","['miss', 'safe', 'comfortable', 'made', 'feel', 'vulnerable', 'able', 'knew', 'loved']",miss safe comfortable made feel vulnerable able knew loved
i hesitate to give out stars for any books because i feel that giving it stars is saying that it is absolutely perfect and there are no improvements to be made,joy,i hesitate to give out stars for any books because i feel that giving it stars is saying that it is absolutely perfect and there are no improvements to be made,"['i', 'hesitate', 'to', 'give', 'out', 'stars', 'for', 'any', 'books', 'because', 'i', 'feel', 'that', 'giving', 'it', 'stars', 'is', 'saying', 'that', 'it', 'is', 'absolutely', 'perfect', 'and', 'there', 'are', 'no', 'improvements', 'to', 'be', 'made']","['hesitate', 'give', 'stars', 'books', 'feel', 'giving', 'stars', 'saying', 'absolutely', 'perfect', 'improvements', 'made']",hesitate give stars books feel giving stars saying absolutely perfect improvements made
i also feel as though this assumption is rude as soon as they are informed they are married the next question follows do you have kids,anger,i also feel as though this assumption is rude as soon as they are informed they are married the next question follows do you have kids,"['i', 'also', 'feel', 'as', 'though', 'this', 'assumption', 'is', 'rude', 'as', 'soon', 'as', 'they', 'are', 'informed', 'they', 'are', 'married', 'the', 'next', 'question', 'follows', 'do', 'you', 'have', 'kids']","['also', 'feel', 'though', 'assumption', 'rude', 'soon', 'informed', 'married', 'next', 'question', 'follows', 'kids']",also feel though assumption rude soon informed married next question follows kids
